YEAR,COUNTRY,PRODUCT,Reliance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Germany,Coal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Germany,Coal,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Germany,Coal,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Germany,Coal,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Germany,Coal,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Germany,Coal,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Germany,Coal,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Germany,Coal,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Germany,Coal,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Germany,Coal,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Germany,Coal,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Germany,Coal,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Germany,Coal,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Germany,Coal,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Germany,Coal,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Germany,Coal,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Germany,Coal,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Germany,Coal,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Germany,Coal,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Germany,Coal,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Germany,Coal,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Germany,Coal,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Germany,Coal,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021E,Germany,Coal,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Germany,Oil,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Germany,Oil,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Germany,Oil,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Germany,Oil,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Germany,Oil,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Germany,Oil,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Germany,Oil,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Germany,Oil,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Germany,Oil,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Germany,Oil,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Germany,Oil,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Germany,Oil,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Germany,Oil,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Germany,Oil,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Germany,Oil,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Germany,Oil,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Germany,Oil,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Germany,Oil,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Germany,Oil,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Germany,Oil,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Germany,Oil,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Germany,Oil,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Germany,Oil,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Germany,Oil,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Germany,Oil,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Germany,Oil,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Germany,Oil,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Germany,Oil,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Germany,Oil,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Germany,Oil,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Germany,Oil,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021E,Germany,Oil,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Germany,Natural Gas,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Germany,Natural Gas,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Germany,Natural Gas,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Germany,Natural Gas,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Germany,Natural Gas,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Germany,Natural Gas,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Germany,Natural Gas,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Germany,Natural Gas,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Germany,Natural Gas,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Germany,Natural Gas,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Germany,Natural Gas,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Germany,Natural Gas,35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Germany,Natural Gas,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Germany,Natural Gas,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Germany,Natural Gas,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Germany,Natural Gas,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Germany,Natural Gas,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Germany,Natural Gas,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Germany,Natural Gas,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Germany,Natural Gas,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Germany,Natural Gas,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Germany,Natural Gas,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Germany,Natural Gas,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Germany,Natural Gas,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Germany,Natural Gas,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Germany,Natural Gas,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Germany,Natural Gas,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Germany,Natural Gas,69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Germany,Natural Gas,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Germany,Natural Gas,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Germany,Natural Gas,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021E,Germany,Natural Gas,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
